Model: word2vec_30_2_0_5.model, Average Distance: 0.4326, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_30_2_0_10.model, Average Distance: 0.4163, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_30_2_0_15.model, Average Distance: 0.4106, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_30_2_0_30.model, Average Distance: 0.3981, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_30_2_0_40.model, Average Distance: 0.3903, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_30_2_1_5.model, Average Distance: 0.2842, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_30_2_1_10.model, Average Distance: 0.2926, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_30_2_1_15.model, Average Distance: 0.3013, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_30_2_1_30.model, Average Distance: 0.3183, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_30_2_1_40.model, Average Distance: 0.3247, Params: {'embedding_size': 30, 'window_size': 2, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_30_3_0_5.model, Average Distance: 0.4451, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_30_3_0_10.model, Average Distance: 0.4273, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_30_3_0_15.model, Average Distance: 0.4147, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_30_3_0_30.model, Average Distance: 0.3980, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_30_3_0_40.model, Average Distance: 0.3922, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_30_3_1_5.model, Average Distance: 0.2771, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_30_3_1_10.model, Average Distance: 0.2890, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_30_3_1_15.model, Average Distance: 0.2988, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_30_3_1_30.model, Average Distance: 0.3150, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_30_3_1_40.model, Average Distance: 0.3215, Params: {'embedding_size': 30, 'window_size': 3, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_30_4_0_5.model, Average Distance: 0.4536, Params: {'embedding_size': 30, 'window_size': 4, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_30_4_0_10.model, Average Distance: 0.4297, Params: {'embedding_size': 30, 'window_size': 4, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_30_4_0_15.model, Average Distance: 0.4192, Params: {'embedding_size': 30, 'window_size': 4, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_30_4_0_30.model, Average Distance: 0.4034, Params: {'embedding_size': 30, 'window_size': 4, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_30_4_0_40.model, Average Distance: 0.3937, Params: {'embedding_size': 30, 'window_size': 4, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_30_4_1_5.model, Average Distance: 0.2756, Params: {'embedding_size': 30, 'window_size': 4, 'skip_gram': 1, 'epochs': 5}
